movie_title,year
Brokedown Palace ,1999.0
The Ballad of Gregorio Cortez ,2018.0
Chronicle ,2012.0
8 Mile ,2002.0
The Possession ,2012.0
Yentl ,1983.0
Billy Elliot ,2000.0
The Celebration ,1998.0
The Medallion ,2003.0
Time Bandits ,1981.0
House Party 2 ,1991.0
Stone Cold ,2005.0
Man on a Ledge ,2012.0
Journey from the Fall ,2006.0
Crossroads ,2002.0
Sheena ,1984.0
The Big Year ,2011.0
Eddie: The Sleepwalking Cannibal ,2012.0
The Man from Snowy River ,1982.0
The Karate Kid ,1984.0
Underclassman ,2005.0
Space: Above and Beyond             ,1995.0
Project X ,2012.0
Mommie Dearest ,1981.0
Back to the Future Part II ,1989.0
Say It Isn't So ,2001.0
Queen of the Mountains ,
Johnson Family Vacation ,2004.0
The Players Club ,1998.0
Fifty Shades of Grey ,2015.0
Snakes on a Plane ,2006.0
How High ,2001.0
Def-Con 4 ,1985.0
The Conjuring 2 ,2016.0
King's Ransom ,2005.0
Neal 'N' Nikki ,2005.0
"As Above, So Below ",2014.0
The Muppet Christmas Carol ,1992.0
He's Just Not That Into You ,2009.0
Addicted ,2014.0
Blindness ,2008.0
The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It ,2010.0
Katy Perry: Part of Me ,2012.0
Scream 3 ,2000.0
The Egyptian ,1954.0
Me and Orson Welles ,2008.0
Friday the 13th Part 2 ,1981.0
Back to the Future Part III ,1990.0
Prophecy ,1979.0
Friday the 13th Part VIII: Jason Takes Manhattan ,1989.0
Little White Lies ,2010.0
The Lost Weekend ,1945.0
Stir of Echoes ,1999.0
My Big Fat Greek Wedding ,2023.0
The Last of the Mohicans ,1992.0
Love Ranch ,2010.0
C.H.U.D. ,1984.0
Philomena ,2013.0
Halloween: The Curse of Michael Myers ,1995.0
Shallow Hal ,2001.0
The Lion of Judah ,2011.0
The True Story of Puss'N Boots ,2015.0
The Upside of Anger ,2005.0
Y Tu Mamá También ,2001.0
Space Dogs ,2021.0
Niagara ,1953.0
The Other Woman ,2014.0
The Boys from Brazil ,1978.0
The Haunting of Molly Hartley ,2008.0
Ironclad ,2011.0
Behind Enemy Lines ,2001.0
Halloween 4: The Return of Michael Myers ,1988.0
"Sex, Lies, and Videotape ",1989.0
Aquamarine ,2006.0
Waterloo ,1970.0
Shall We Dance ,2004.0
April Fool's Day ,1986.0
Paper Towns ,2015.0
Super Troopers ,2001.0
Kung Fu Killer ,2014.0
Apocalypto ,2006.0
Diner ,1982.0
The Amazing Catfish ,2013.0
Tales from the Crypt: Demon Knight ,1995.0
Scream 2 ,1997.0
The Living Daylights ,1987.0
Lone Wolf McQuade ,1983.0
Monsoon Wedding ,2001.0
Max Keeble's Big Move ,2001.0
Think Like a Man Too ,2014.0
Legal Eagles ,1986.0
Apollo 18 ,2011.0
But I'm a Cheerleader ,1999.0
Living Out Loud ,1998.0
Footloose ,1984.0
Sunshine Cleaning ,2008.0
The Skeleton Key ,2005.0
Home Run ,2013.0
No Escape ,2015.0
The Postman Always Rings Twice ,1946.0
Zack and Miri Make a Porno ,2008.0
Made of Honor ,2008.0
The Second Mother ,2015.0
Solomon and Sheba ,1959.0
Sorority Boys ,2002.0
Double Take ,2001.0
Medicine Man ,1992.0
Blue Like Jazz ,2012.0
Fifty Shades of Black ,2016.0
Muppets from Space ,1999.0
A Farewell to Arms ,1932.0
Arbitrage ,2012.0
Aliens vs. Predator: Requiem ,2007.0
Down and Out with the Dolls ,2001.0
Paul ,
The Perfect Match ,2016.0
Project Almanac ,2015.0
"Pink Ribbons, Inc. ",2011.0
The Wiz ,1978.0
Digimon: The Movie ,2000.0
The Guilt Trip ,2012.0
Cadillac Records ,2008.0
Ready to Rumble ,2000.0
Q ,
The Barbarian Invasions ,2003.0
The Doors ,1991.0
Screwed ,2000.0
Play It to the Bone ,1999.0
Robin and Marian ,1976.0
Sex Tape ,2014.0
The Knife of Don Juan ,2022.0
Fortress ,1992.0
The Forsaken ,2001.0
The Princess and the Cobbler ,1987.0
Hanging Up ,2000.0
For Your Consideration ,2006.0
UHF ,1989.0
The Charge of the Light Brigade ,1968.0
Final Destination ,2000.0
Slums of Beverly Hills ,1998.0
Final Destination 5 ,2011.0
From Justin to Kelly ,2003.0
Chasing Liberty ,2004.0
Below Zero ,2021.0
Once Upon a Time in the West ,2019.0
Girl 6 ,1996.0
Crowsnest ,2012.0
Mickey Blue Eyes ,1999.0
Sea Rex 3D: Journey to a Prehistoric World ,2010.0
The Crew ,2024.0
In the Cut ,2003.0
The Sweet Hereafter ,1997.0
Jaws: The Revenge ,1987.0
Fever Pitch ,2005.0
Airborne ,1993.0
Of Gods and Men ,2007.0
Two Lovers ,2008.0
Jekyll and Hyde... Together Again ,1982.0
The Longshots ,2008.0
Cotton Comes to Harlem ,1970.0
Zero Effect ,1998.0
Drillbit Taylor ,2008.0
Light Sleeper ,1992.0
Rabbit Hole ,2023.0
Ravenous ,1999.0
Green Room ,2015.0
The Oh in Ohio ,2006.0
Bleeding Hearts ,2012.0
The End of the Affair ,1999.0
Atlas Shrugged: Who Is John Galt? ,2014.0
The Shadow ,2023.0
The Dangerous Lives of Altar Boys ,2002.0
Bottle Rocket ,1996.0
Dead Man's Shoes ,2004.0
Harley Davidson and the Marlboro Man ,1991.0
2046 ,2004.0
Out of the Blue ,2022.0
Morning Glory ,2010.0
From a Whisper to a Scream ,2015.0
Coco Before Chanel ,2009.0
Married Life ,2007.0
Tycoon ,2016.0
Dracula: Pages from a Virgin's Diary ,2002.0
Get Rich or Die Tryin' ,2005.0
Chéri ,
Desert Blue ,1998.0
Duma ,2005.0
Faith Like Potatoes ,2006.0
The Out-of-Towners ,1999.0
Decoys ,2004.0
Vanity Fair ,2018.0
Ondine ,2009.0
Beyond the Black Rainbow ,2010.0
The Musketeer ,2001.0
The Visit ,2015.0
Bodyguards and Assassins ,2009.0
The Raid: Redemption ,2011.0
Brother ,2003.0
Redacted ,2007.0
The Reaping ,2007.0
1408 ,2007.0
The Dead Undead ,2010.0
Welcome to Collinwood ,2002.0
Fascination ,1979.0
Colombiana ,2011.0
Spaceballs ,1987.0
Critical Care ,1997.0
The Vatican Exorcisms ,2013.0
Area 51 ,2015.0
The Water Diviner ,2014.0
At First Sight ,2023.0
Lake Mungo ,2008.0
The Life Before Her Eyes ,2007.0
Sleep Tight ,2011.0
There's Something About Mary ,1998.0
Torque ,2004.0
Silent Running ,1972.0
The Cottage ,2008.0
Trade ,2007.0
The Santa Clause ,1994.0
Ishtar ,
Cypher ,2021.0
Dead Like Me: Life After Death ,2009.0
The Animal ,
The Sleepwalker ,2014.0
Memoirs of an Invisible Man ,1992.0
City of Life and Death ,2009.0
Rudderless ,2014.0
Tom Jones ,2023.0
The Net ,1995.0
New York Minute ,2004.0
Henry & Me ,2014.0
Space Battleship Yamato ,2010.0
Unfriended ,2014.0
I Am Sam ,2001.0
Alfie ,
5 Days of War ,2011.0
We Have Your Husband ,2011.0
The Howling ,1981.0
Underworld ,2003.0
Big Miracle ,2012.0
Triangle ,2009.0
Born of War ,2014.0
Dr. No ,1962.0
Derailed ,2005.0
Duplex ,2003.0
Capricorn One ,1977.0
10 Days in a Madhouse ,2015.0
Chernobyl Diaries ,2012.0
Deuce Bigalow: European Gigolo ,2005.0
Heaven Is for Real ,2014.0
Should've Been Romeo ,2012.0
Raise the Titanic ,1980.0
Hellraiser ,1987.0
Delivery Man ,2013.0
Dancin' It's On ,2015.0
Running Forever ,2004.0
Impostor ,2001.0
God's Not Dead 2 ,2016.0
Saving Silverman ,2001.0
The Awakening ,2011.0
Pet Sematary ,1989.0
Just Visiting ,2001.0
Cry_Wolf ,2005.0
Diary of a Wimpy Kid: Dog Days ,2012.0
Hostel ,2005.0
Madadayo ,1993.0
The Devil Inside ,2021.0
A Thousand Words ,2012.0
Summer of Sam ,1999.0
Tristram Shandy: A Cock and Bull Story ,2005.0
The Glass House ,2001.0
The Cry of the Owl ,2009.0
Take Shelter ,2011.0
Delgo ,2008.0
Beyond the Valley of the Dolls ,1970.0
The Gunman ,2015.0
The Little Vampire ,2000.0
A Tale of Three Cities ,2013.0
Love Me Tender ,1956.0
Lady in White ,1988.0
Disturbia ,2007.0
Gremlins ,1984.0
RoboCop 3 ,1993.0
Let's Kill Ward's Wife ,2014.0
Sands of Iwo Jima ,1949.0
The Hunting Party ,1971.0
High School Musical 3: Senior Year ,2008.0
The Texas Chainsaw Massacre 2 ,1986.0
The Transporter Refueled ,2015.0
The Green Inferno ,2013.0
The Hudsucker Proxy ,1994.0
My Cousin Vinny ,1992.0
Without Men ,2011.0
Joyeux Noel ,2005.0
Departure ,2019.0
Nomad: The Warrior ,2005.0
Drive Hard ,2014.0
All Hat ,2007.0
Mad Money ,2008.0
The Sessions ,2012.0
The Names of Love ,2010.0
A Monster in Paris ,2011.0
Major League ,1989.0
Frozen River ,2008.0
Molière ,2007.0
Treading Water ,2013.0
St. Trinian's ,2007.0
The Crow ,2024.0
20 Feet from Stardom ,2013.0
Police Academy ,1984.0
Michael Clayton ,2007.0
A Walk to Remember ,2002.0
Baahubali: The Beginning ,2015.0
The Blue Lagoon ,1980.0
Walking and Talking ,1996.0
Dead Man Walking ,1995.0
My Fellow Americans ,1996.0
Four Weddings and a Funeral ,1994.0
The Time Traveler's Wife ,2022.0
The Full Monty ,1997.0
Saw VI ,2009.0
Underdogs ,2013.0
Superman III ,1983.0
Who Killed the Electric Car? ,2006.0
Fast Times at Ridgemont High ,1982.0
History of the World: Part I ,1981.0
South Park: Bigger Longer & Uncut ,1999.0
Sweet Home Alabama ,2002.0
Requiem for a Dream ,2000.0
The Broken Hearts Club: A Romantic Comedy ,2000.0
Teenage Mutant Ninja Turtles III ,1993.0
The Secret Life of Bees ,2008.0
Salvador ,1986.0
Bubba Ho-Tep ,2002.0
The Rage: Carrie 2 ,1999.0
Corky Romano ,2001.0
Moms' Night Out ,2014.0
Raising Cain ,1992.0
The Bachelor             ,2002.0
Character ,1997.0
Sgt. Bilko ,1996.0
Slam ,1993.0
Invaders from Mars ,1986.0
Away We Go ,2009.0
Spun ,2002.0
Brigham City ,2001.0
Star Trek: Generations ,1994.0
Brooklyn ,2013.0
Exiled ,2006.0
Swing Vote ,2008.0
Orgazmo ,1997.0
